      Word  Script1_count  Script2_count
0      don             22             18
1   elaine             74             32
2   george             31             65
3    helen             38              0
4    jerry            198            104
5     know             33             18
6    morty             23              0
7       oh             33             20
8  vanessa             30              0
9     yeah             25             18
